 Note: The transition dipole moments reported below only correspond to spatial part, the spin part is not taken into account!

 Ground state electric dipole moment in X,Y,Z:    0.059559   -0.234055    0.171661 a.u.

 Transition electric dipole moment between ground state (0) and excited states (a.u.)
     i     j         X             Y             Z        Diff.(eV)   Oscil.str
     8    28     1.7351245    -0.2444252    -0.0852870     1.64030     0.12368
     8    29    -0.3975243    -0.3726124    -0.0288723     1.68670     0.01230
     8    30    -0.8055063     0.8552597     0.1817244     1.69860     0.05882
     8    31     0.4617612     0.4468823     0.1189341     1.72800     0.01808
     8    32    -0.0065163     0.0404014     0.0044928     1.82820     0.00008
     8    33     0.1751390     0.3794005     0.0356979     1.84140     0.00794
     8    34     0.0014646     0.0050573     0.0038854     1.89900     0.00000
     8    35    -0.0582011     0.3297641     0.0825882     1.95090     0.00569
     8    36     0.6153983     0.2799845     0.0489798     2.00710     0.02260
     8    37     0.0373021    -0.0102464     0.0343249     2.02620     0.00013
     8    38     0.0228818    -0.0239198     0.0100518     2.03870     0.00006
     8    39    -0.4596976    -0.3690515    -0.0469311     2.09070     0.01791
     8    40     0.1032712     0.2109541     0.0398620     2.14270     0.00298
     9     9    -1.1036395    -0.9528298     0.0866207     0.00000     0.00000
     9    10    -1.0740075    -0.2458931     0.0505858     0.14270     0.00425
     9    11     0.3902132     0.0607063     0.0932639     0.24660     0.00099
     9    12    -0.0160206     0.0171948    -0.0238215     0.33720     0.00001
     9    13    -0.6612178     0.4720340     0.0741177     0.39060     0.00637
     9    14    -3.5435005    -0.6689731     0.0735652     0.61690     0.19662
     9    15     0.4922389    -0.3404252    -0.1192440     0.64090     0.00585
     9    16    -2.1354433     0.5938641    -0.1846845     0.72880     0.08833
     9    17    -0.0851373     0.0152784     0.0175463     0.74790     0.00014
     9    18     0.1059860     0.4008601     0.0691943     0.79330     0.00343
     9    19    -0.2952580     0.0198331    -0.0408308     0.96100     0.00210
     9    20     0.8184712     0.0723723    -0.0200627     1.08390     0.01794
     9    21    -1.2098959    -0.3424880    -0.0517907     1.16330     0.04514
     9    22    -0.2786809     0.1252398    -0.0085596     1.36560     0.00313
     9    23    -1.1546644    -0.2189748     0.0934570     1.37410     0.04679
     9    24    -0.0120891     0.0172657     0.0034737     1.39840     0.00002
     9    25     0.1157257    -0.2583895    -0.0789478     1.41390     0.00299
     9    26     0.2213805     0.0225488     0.0250535     1.50870     0.00185
     9    27     0.1862606     0.0734838    -0.0351674     1.55170     0.00157
     9    28    -1.4094037     0.0028456     0.0400468     1.57900     0.07691
     9    29     1.8328344    -0.1964955    -0.1064536     1.62540     0.13576
     9    30    -1.0636084     0.5407802     0.1233396     1.63730     0.05772
     9    31    -0.0737485     0.6976927     0.0893970     1.66670     0.02043
     9    32    -0.0894431    -0.0175837     0.0189944     1.76690     0.00038
     9    33     0.1458735     0.0527571     0.0645537     1.78010     0.00123
     9    34    -0.0040546    -0.0010929    -0.0020531     1.83770     0.00000
     9    35    -0.1410118     0.2488693     0.0417966     1.88960     0.00387
     9    36    -0.2178308     0.2579691     0.0591048     1.94580     0.00560
     9    37    -0.0357532    -0.0068662    -0.0566419     1.96490     0.00022
     9    38    -0.1347424     0.0763910    -0.0023126     1.97740     0.00116
     9    39    -0.4581478    -0.1564572    -0.0089373     2.02940     0.01166
     9    40    -0.1354649     0.0995459    -0.0107202     2.08140     0.00145
    10    10    -0.7834774    -0.0999078     0.0618348     0.00000     0.00000
    10    11    -0.0435937    -0.2365855    -0.0325590     0.10390     0.00015
    10    12    -0.0085233     0.0001905     0.0021913     0.19450     0.00000
    10    13    -0.6902600     0.4285069     0.0511852     0.24790     0.00402
    10    14     1.0076511     0.0335905    -0.0268808     0.47420     0.01182
    10    15     1.2907099    -0.4885578    -0.1005944     0.49820     0.02337
    10    16     0.0000000     0.0000000     0.0000000     0.58610     0.00000
    10    17    -0.3188833    -0.2953450    -0.0248281     0.60520     0.00281
    10    18     0.2107099    -0.0084982     0.0329310     0.65060     0.00073
    10    19    -1.2775008     0.5172583     0.0937840     0.81830     0.03826
    10    20    -0.8279271    -0.4404047    -0.0067911     0.94120     0.02028
    10    21    -0.9196197     0.0115677     0.0840248     1.02060     0.02133
    10    22    -0.5546966    -0.0125913     0.0031806     1.22290     0.00922
    10    23     0.6871694    -0.1376308    -0.0323549     1.23140     0.01485
    10    24    -0.0630828    -0.0181716    -0.0005434     1.25570     0.00013
    10    25    -0.0138442     0.0069067     0.0019230     1.27120     0.00001
    10    26     0.0950172     0.1472105     0.0008686     1.36600     0.00103
    10    27    -1.1805736     0.1109805     0.0382920     1.40900     0.04859
    10    28    -0.7827994     0.3117821     0.0217379     1.43630     0.02500
    10    29    -0.0706847    -0.1107991    -0.0423419     1.48270     0.00069
    10    30    -0.9609766     0.1031646    -0.0336692     1.49460     0.03425
    10    31    -4.1481040     0.2767276     0.2156556     1.52400     0.64705
